entry_dt,exit_dt,days,symbol,size,entry_price,exit_price,pnl,cost,cost_risk_adjusted
2018-07-12 16:00:00,2018-07-13 16:00:00,2,IOTS,131,6.075,5.8905,-24.169499999999985,1.7685,0.013886366683612407
2018-07-12 16:00:00,2018-07-18 16:00:00,5,TANH,403,1.33,1.33,-8.881784197001252e-16,5.4405,0.01410551438278676
2018-07-12 16:00:00,2018-07-17 16:00:00,4,SLP,65,17.1,17.3,12.999999999999954,1.0,0.0037536910515325334
2018-07-13 16:00:00,2018-07-16 16:00:00,2,SSLJ,280,1.55,1.4355,-32.06000000000002,3.7800000000000002,0.030091945398709154
2018-07-13 16:00:00,2018-07-16 16:00:00,2,SLS,346,1.7,1.6137,-29.859800000000014,4.671,0.034021646486666404
2018-07-13 16:00:00,2018-07-20 16:00:00,6,ADXS,841,1.32,1.43,92.5099999999999,11.3535,0.015394733413738692
2018-07-13 16:00:00,2018-07-16 16:00:00,2,GEN,404,1.51,1.4751,-14.099599999999972,5.454,0.044112152611185514
2018-07-16 16:00:00,2018-07-17 16:00:00,2,EARS,1142,0.28,0.27225,-8.85050000000004,14.6176,0.12470440389833698
2018-07-16 16:00:00,2018-07-19 16:00:00,4,NVRO,21,58.73,59.25,10.920000000000066,0.5599999999999999,0.0020583227934021175
2018-07-18 16:00:00,2018-07-24 16:00:00,5,AMMA,4109,0.2048,0.205,0.8217999999999073,49.50523200000001,0.016884846558215694
2018-07-19 16:00:00,2018-07-20 16:00:00,2,CTIC,270,2.27,2.24235,-7.465499999999987,3.6450000000000005,0.028810722096729694
2018-07-25 16:00:00,2018-07-27 16:00:00,3,BBGI,125,7.3,7.15,-18.749999999999932,1.6875,0.00931236906930941
2018-07-25 16:00:00,2018-07-27 16:00:00,3,NVRO,14,60.9,56.8,-57.40000000000002,0.49,0.001933353401426019
2018-07-26 16:00:00,2018-08-01 16:00:00,5,KNX,50,28.67,32.1,171.5,0.85,0.0025550923944064378
2018-07-26 16:00:00,2018-07-27 16:00:00,2,BLCM,196,6.265,5.910299999999999,-69.52120000000005,2.646,0.020358735846006414
2018-07-26 16:00:00,2018-07-30 16:00:00,3,ACOR,56,24.8,23.85,-53.19999999999996,0.91,0.004671536158817302
2018-07-26 16:00:00,2018-07-30 16:00:00,3,STG,219,5.97,5.93,-8.760000000000005,2.9565,0.01336851125594917
2018-07-26 16:00:00,2018-07-30 16:00:00,3,MOSY,654,1.18,1.16,-13.080000000000013,8.829,0.0397485057463959
2018-07-26 16:00:00,2018-07-31 16:00:00,4,BSPM,507,1.55,1.85,152.10000000000002,6.8445,0.009698693647504636
2018-07-26 16:00:00,2018-07-30 16:00:00,3,TZOO,62,13.35,13.25,-6.199999999999978,0.97,0.004656971075865231
2018-07-27 16:00:00,2018-07-31 16:00:00,3,SSLJ,531,1.49,1.56,37.17000000000007,7.168500000000001,0.008523542553186441
2018-07-30 16:00:00,2018-08-01 16:00:00,3,NBRV,382,2.7,2.61,-34.38000000000011,5.157,0.024241146953754098
2018-07-30 16:00:00,2018-07-31 16:00:00,2,AMID,140,6.15,5.6925,-64.05000000000007,1.8900000000000001,0.013932309599780203
2018-07-30 16:00:00,2018-08-06 16:00:00,6,SIFY,937,1.645,1.65,4.684999999999899,12.649500000000002,0.03336950237676216
2018-07-30 16:00:00,2018-07-31 16:00:00,2,CLUB,108,10.525,10.3455,-19.386000000000095,1.4580000000000002,0.011958368876433725
2018-07-30 16:00:00,2018-07-31 16:00:00,2,NYNY,81,14.9,13.909500000000001,-80.23049999999992,1.1600000000000001,0.007962555473618921
2018-07-31 16:00:00,2018-08-01 16:00:00,2,SOHU,47,25.2,24.774749999999997,-19.98675000000009,0.8200000000000001,0.00635507088790064
2018-07-31 16:00:00,2018-08-08 16:00:00,7,DAIO,254,5.07,5.2,33.019999999999975,3.4290000000000003,0.0072925585914023275
2018-07-31 16:00:00,2018-08-01 16:00:00,2,CHRA,191,7.63,7.4349,-37.26410000000001,2.5785,0.01933175537189839
2018-07-31 16:00:00,2018-08-01 16:00:00,2,DFRG,146,8.55,8.365499999999999,-26.937000000000243,1.971,0.014891871980629936
2018-07-31 16:00:00,2018-08-02 16:00:00,3,VRNS,24,59.8,58.0,-43.19999999999993,0.59,0.0026116998880745426
2018-08-01 16:00:00,2018-08-02 16:00:00,2,TXMD,275,5.21,5.0688,-38.82999999999988,3.7125,0.02784789971228335
2018-08-01 16:00:00,2018-08-03 16:00:00,3,CSLT,284,3.275,3.15,-35.5,3.8339999999999996,0.02063919826194397
2018-08-01 16:00:00,2018-08-08 16:00:00,6,IPGP,8,167.34,172.08,37.92000000000007,0.43,0.001096075016694402
2018-08-01 16:00:00,2018-08-08 16:00:00,6,PES,298,3.3,3.3,8.881784197001252e-16,4.023,0.009865893756003054
2018-08-02 16:00:00,2018-08-03 16:00:00,2,NLNK,348,3.17,3.09375,-26.534999999999975,4.698,0.03612911349669413
2018-08-02 16:00:00,2018-08-06 16:00:00,3,GORO,271,5.75,5.61,-37.93999999999991,3.6585,0.016225951969984134
2018-08-02 16:00:00,2018-08-06 16:00:00,3,CRTO,54,26.27,26.1,-9.1799999999999,0.89,0.004457475072374029
2018-08-02 16:00:00,2018-08-03 16:00:00,2,DBD,129,6.675,6.60825,-8.610749999999982,1.7415,0.013915361960424259
2018-08-02 16:00:00,2018-08-06 16:00:00,3,XENT,56,26.95,26.2,-42.0,0.91,0.00446092577329102
2018-08-03 16:00:00,2018-08-06 16:00:00,2,IO,55,17.65,17.473499999999998,-9.707500000000042,0.9,0.007354815234651147
2018-08-03 16:00:00,2018-08-06 16:00:00,2,RSLS,793,0.45,0.445401,-3.6470070000000154,10.7055,0.09345256949576522
2018-08-03 16:00:00,2018-08-16 16:00:00,10,CCRN,186,8.48,9.28,148.79999999999978,2.511,0.0029065893059619444
2018-08-03 16:00:00,2018-08-06 16:00:00,2,CBAK,1782,0.6888,0.653301,-63.259217999999905,24.057000000000002,0.15674938961860657
2018-08-03 16:00:00,2018-08-10 16:00:00,6,AXGN,26,38.45,38.95,13.0,0.61,0.001693043854465619
2018-08-03 16:00:00,2018-08-06 16:00:00,2,EPZM,88,9.55,9.38025,-14.938000000000045,1.23,0.01023952468917286
2018-08-03 16:00:00,2018-08-08 16:00:00,4,DWSN,200,6.09,5.9,-37.9999999999999,2.7,0.010389627284609914
2018-08-03 16:00:00,2018-08-09 16:00:00,5,SKY,61,24.25,27.58,203.1299999999999,0.96,0.002360472053978695
2018-08-03 16:00:00,2018-08-09 16:00:00,5,VECO,129,11.6,11.675,9.67500000000014,1.7415,0.005277484384398684
2018-08-03 16:00:00,2018-08-07 16:00:00,3,RRGB,37,37.65,37.25,-14.799999999999947,0.72,0.0036490307380723733
2018-08-06 16:00:00,2018-08-07 16:00:00,2,SGMS,34,34.85,33.461999999999996,-47.19200000000018,0.69,0.005041255500802946
2018-08-06 16:00:00,2018-08-07 16:00:00,2,JOBS,17,79.13,76.3488,-47.28039999999997,0.52,0.004210832027419907
2018-08-06 16:00:00,2018-08-08 16:00:00,3,RVLT,355,2.82,2.78,-14.200000000000012,4.7925,0.024299601508657367
2018-08-06 16:00:00,2018-08-13 16:00:00,6,IMMR,121,11.01,11.43,50.82,1.6335,0.003966938177688057
2018-08-06 16:00:00,2018-08-07 16:00:00,2,TWI,159,7.05,6.93495,-18.292950000000015,2.1465,0.01614644210494318
2018-08-06 16:00:00,2018-08-10 16:00:00,5,MNKD,686,1.07,1.155,58.309999999999974,9.261000000000001,0.023886228316510237
2018-08-07 16:00:00,2018-08-08 16:00:00,2,PTIE,486,1.25,1.2375,-6.074999999999978,6.561,0.05276101933996879
2018-08-07 16:00:00,2018-08-13 16:00:00,5,OVID,118,5.67,6.0,38.940000000000005,1.593,0.005312829677417566
2018-08-07 16:00:00,2018-08-09 16:00:00,3,PGLC,1142,1.31,1.26,-57.10000000000005,15.417,0.06544519509538207
2018-08-07 16:00:00,2018-08-08 16:00:00,2,RSLS,1188,0.171,0.16929000000000002,-2.0314799999999873,13.911480000000001,0.17709923769654484
2018-08-07 16:00:00,2018-08-10 16:00:00,4,Z,30,49.69,49.46,-6.899999999999906,0.6499999999999999,0.002347633205026276
2018-08-07 16:00:00,2018-08-08 16:00:00,2,TIS,245,2.37,2.2473,-30.06150000000001,3.3075,0.019262090204304347
2018-08-08 16:00:00,2018-08-10 16:00:00,3,GTT,38,34.05,33.7,-13.299999999999784,0.73,0.0036048199271583735
2018-08-08 16:00:00,2018-08-09 16:00:00,2,SGMS,31,33.4,32.571,-25.69900000000002,0.6599999999999999,0.005240708167631733
2018-08-08 16:00:00,2018-08-10 16:00:00,3,KOPN,696,2.34,2.32,-13.920000000000012,9.396,0.041153875214615686
2018-08-08 16:00:00,2018-08-09 16:00:00,2,SN,282,3.075,3.0294,-12.859200000000087,3.807,0.030215984480905008
2018-08-08 16:00:00,2018-08-10 16:00:00,3,ZG,30,51.27,49.58,-50.700000000000145,0.6499999999999999,0.003166845498095749
2018-08-08 16:00:00,2018-08-10 16:00:00,3,CTXR,412,1.14,1.47,135.96000000000004,5.562,0.02151633430336916
2018-08-08 16:00:00,2018-08-10 16:00:00,3,MXWL,424,3.69,3.5,-80.55999999999997,5.724,0.022579052231325458
2018-08-08 16:00:00,2018-08-09 16:00:00,2,GEMP,145,3.35,3.2274,-17.777000000000037,1.9575,0.017132257263566673
2018-08-08 16:00:00,2018-08-10 16:00:00,3,CBAK,1799,0.85,0.6399,-377.96989999999994,24.286500000000004,0.04537314691965254
2018-08-09 16:00:00,2018-08-15 16:00:00,5,CBB,107,12.075,11.9,-18.72499999999988,1.4445000000000001,0.0029783679441323123
2018-08-09 16:00:00,2018-08-14 16:00:00,4,FCEL,1210,1.23,1.1,-157.29999999999987,16.335,0.04609363050831117
2018-08-09 16:00:00,2018-08-10 16:00:00,2,TTEC,54,27.6,26.037,-84.40200000000013,0.89,0.0062170780046749115
2018-08-09 16:00:00,2018-08-10 16:00:00,2,XOMA,67,19.3,19.008,-19.564000000000107,1.02,0.007711314544989638
2018-08-09 16:00:00,2018-08-14 16:00:00,4,RSLS,4723,0.073,0.105,151.136,50.67779,0.05960706992949118
2018-08-09 16:00:00,2018-08-10 16:00:00,2,FTK,529,2.225,2.150353244532089,-39.48813364252486,7.141500000000001,0.058205625619772446
2018-08-09 16:00:00,2018-08-13 16:00:00,3,AMPE,556,0.48,0.4944,8.006400000000014,7.506,0.03553107939648413
2018-08-09 16:00:00,2018-08-15 16:00:00,5,EXTR,179,6.25,6.28,5.370000000000047,2.4165,0.006866721325114217
2018-08-10 16:00:00,2018-08-15 16:00:00,4,ELF,119,10.18,10.84,78.54000000000002,1.6065,0.005248557439895025
2018-08-10 16:00:00,2018-08-13 16:00:00,2,MHLD,226,4.6,4.455,-32.769999999999904,3.051,0.02211370985207163
2018-08-10 16:00:00,2018-08-14 16:00:00,3,AQMS,458,2.36,2.34,-9.16000000000001,6.183,0.02818940560133503
2018-08-10 16:00:00,2018-08-13 16:00:00,2,SRRA,472,2.05,1.9998,-23.694399999999906,6.372,0.05135509538721992
2018-08-10 16:00:00,2018-08-13 16:00:00,2,LJPC,41,23.4,22.195800000000002,-49.372199999999864,0.76,0.005656868408287111
2018-08-10 16:00:00,2018-08-13 16:00:00,2,SN,284,2.91,2.8611,-13.887600000000047,3.8339999999999996,0.0315257094627476
2018-08-10 16:00:00,2018-08-13 16:00:00,2,HPR,311,5.06,4.806450000000001,-78.85404999999963,4.1985,0.03164243411066469
2018-08-10 16:00:00,2018-08-27 16:00:00,12,GDEN,60,25.97,29.07,186.00000000000009,0.95,0.0012454226481653304
2018-08-13 16:00:00,2018-08-15 16:00:00,3,FTK,533,2.06,2.1,21.32000000000002,7.1955,0.0376049765520617
2018-08-13 16:00:00,2018-08-14 16:00:00,2,ELGX,344,2.73,2.6878499999999996,-14.499600000000122,4.644,0.031976803207340795
2018-08-13 16:00:00,2018-08-16 16:00:00,4,DBD,149,4.6,4.65,7.450000000000106,2.0115,0.005817679296518822
